,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2023-08-12 00:45:24+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,FCc_kGwKCponjDf5Z3kb6Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-13 00:44:17+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,bMxCpHwKm-Gf6GnWQS2VeA,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-25 00:29:14+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,9ZVcuqT8CV8yOaj2xPdQ2Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-26 00:15:18+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-15 18:00:00+02:00,V4nGReRzotnMOhKuAT4GFQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-15 07:00:00+02:00
2023-08-26 00:15:59+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-17 18:00:00+02:00,2DouyoEDe_OW9_TxJUkR-g,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-17 07:00:00+02:00
2023-08-26 00:28:32+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,2F0hzycsr0cRb1olVp8TSw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-08-26 00:29:36+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,Ky0iIUTJdxVmx1_m2eEi9Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-08-27 00:28:59+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,1NUNsX-hWiJiMqkCbvgViQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-09-04 09:15:11+02:00,775,CH,Planned maintenance,A03,Cancelled,2024-05-18 00:00:00+02:00,PgGqWfkL2ZVOxSMeoVdInw,930.0,Hydro Pumped Storage,12W-0000000241-A,intra_zonal,Nant de Drance (NDD),Usine de Nant de Drance,1,MAW,PT15M,4,2024-04-01 00:00:00+02:00
2023-09-14 16:02:40+02:00,0,CH,Planned maintenance,A03,Cancelled,2024-03-29 00:30:00+01:00,HMgLiDg_YpAUQLt7EQZOJQ,226.0,Hydro Water Reservoir,12W-0000000064-3,intra_zonal,AET Leventina,AET Leventina,1,MAW,PT15M,2,2024-03-25 21:30:00+01:00
2023-09-15 00:27:55+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,MMGjA7ctVENWHFgsAwHzgw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-09-16 00:28:25+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,i223jta6SsSivp5Y0zn94g,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-09-16 00:28:53+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,VGPjbt7Q77RuWq9Mh_xDeA,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-09-17 00:28:00+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,ZZTxuq5BReu8LTGTGwZ8Ew,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-09-18 00:28:38+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,GYiIrI8FpU_dWkpqfNJKXQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-09-19 00:28:08+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,9ZwYP3WvAoiSFhNR9ThqWg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
